Producer: 2025/06/25 23:29:36 producer.go:24: 🚀 Starting 10 producer(s) at 2025-06-25 23:29:36
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-10 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-1 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-6 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-5 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-4 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-3 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-7 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-2 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-9 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-8 started
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-10: Enqueued Task ID=task-20250625232939-4096 | Type=image_resize
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-3: Enqueued Task ID=task-20250625232939-2327 | Type=email
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-8: Enqueued Task ID=task-20250625232939-1149 | Type=email
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232939-6617 | Type=data_backup
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-6: Enqueued Task ID=task-20250625232939-0002 | Type=image_resize
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-7: Enqueued Task ID=task-20250625232939-8677 | Type=notification
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-9: Enqueued Task ID=task-20250625232939-6833 | Type=image_resize
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-8: Enqueued Task ID=task-20250625232939-3885 | Type=email
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-4: Enqueued Task ID=task-20250625232939-6574 | Type=image_resize
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-7: Enqueued Task ID=task-20250625232939-5022 | Type=email
